	average
Adam15	0.9753258566274823
Snx25	0.9753258566274823
Taf1b	0.9753258566274823
X2810001G20Rik	0.9753258566274823
Mrpl41	0.9753258566274823
Polr2h	0.9753258566274823
Rgs3	0.9753258566274823
Nfs1	0.9753258566274823
Ntsr2	0.9753258566274823
X2510003E04Rik	0.7647430715470503
Dock5	0.9753258566274823
Cryz	0.9753258566274823
Fubp3	0.9753258566274823
Efs	0.9753258566274823
Ccdc90b	0.9753258566274823
Scx	0.9753258566274823
Enthd2	0.9753258566274823
Btbd11	0.9753258566274823
Gm10474	0.9753258566274823
Ttc28	0.9753258566274823
Pipox	0.9753258566274823
Pak2	0.9753258566274823
Cmc1	0.9753258566274823
Cnrip1	0.9753258566274823
Zfp639	0.9704806470419005
Me2	0.9753258566274823
Eif2ak3	0.9753258566274823
Gsto1	0.9753258566274823
Thap11	0.9268592042941566
Wdr45	0.9753258566274823
Me1	0.9753258566274823
Plekho1	0.9051022024486575
Dera	0.9753258566274823
Sppl2b	0.9753258566274823
Yeats2	0.9753258566274823
Wnk1	0.9753258566274823
Gm14326	0.9753258566274823
Fam173b	0.9753258566274823
March1	0.9753258566274823
BC023829	0.9753258566274823
Ptprz1	0.9753258566274823
Neat1	0.9753258566274823
Adcy8	0.9753258566274823
Acss2	0.9753258566274823
AI504432	0.9753258566274823
Lpar6	0.9753258566274823
Gmcl1	0.9753258566274823
Dbr1	0.9753258566274823
Slc16a4	0.9753258566274823
Prpsap2	0.9753258566274823
Cdh23	0.9753258566274823
Rpa2	0.9753258566274823
Pram1	0.9753258566274823
Pxn	0.9753258566274823
Fcer1g	0.9753258566274823
Enpp2	0.9753258566274823
Tnfrsf12a	0.9753258566274823
Acaa2	0.9753258566274823
Fbxo42	0.9086206920641323
Eif3m	0.9753258566274823
Acox3	0.9753258566274823
Eftud2	0.8689421806025917
Snx4	0.9753258566274823
Tmem41b	0.8824671205759196
Mfn1	0.9753258566274823
Zfp367	0.9753258566274823
